datetime	rov	divenum	sp	depth	temp	o2_ppt	sal_ppt	transmiss	lat	lon	timecode	pics	samplenum
2018-08-30 19:47:10	Ventana	4139	Bathocyroe fosteri	640.8300171	5.447999954	0.2849999964	34.31800079	87.91999817	36.693991	-122.043441	None	http://search.mbari.org/ARCHIVE/framegrabs/Ventana/images/4139/20180830T194711Z-c5fddb8f-243d-4581-a46c-47237731ff5e.jpg	V4139-SS3
2016-12-18 19:59:38	Doc Ricketts	919	Bathocyroe fosteri	2776.26001	1.664000034	2.326999903	34.66400146	82.23000336	36.401931	-122.651143	05:26:01:20	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0919/05_26_01_20.jpg	D919-D5
2016-05-12 19:21:44	Ventana	3930	Lampocteis cruentiventer	517.6500244	5.644000053				36.744696	-122.105263	02:53:37:23	http://search.mbari.org/ARCHIVE/frameGrabs/Ventana/images/3930/02_53_37_23.jpg	V3930-SS7
2017-06-09 17:00:13	Doc Ricketts	960	Tjalfiella pink	3964.060059	1.498000026	2.829999924	34.68700027	79.87000275	35.496901	-123.999138	03:28:51:05	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0960/03_28_51_05.jpg	D960-SS10
2014-01-14 20:49:42	Ventana	3756	Bathocyroe fosteri	572.58	5.995	0.345	34.26	88.69	None	None	03:44:12:24	http://dsg.mbari.org/frameGrabs/Ventana/images/3756/03_44_12_24.jpg	V3756-d3
2018-08-30 17:11:56	Ventana	4139	red X cydippid	980.0300293	3.944000006	0.5049999952	34.45500183	86.05999756	36.701949	-122.048233	None	http://search.mbari.org/ARCHIVE/framegrabs/Ventana/images/4139/20180830T171157Z-c5fddb8f-243d-4581-a46c-47237731ff5e.jpg	V4139-D3
2013-07-15 16:49:24	Doc Ricketts	499	red X cydippid	1432.219971	2.941999912	0.878000021	34.54199982	83.86000061	36.600319	-122.149765	03:27:18:17	http://search.mbari.org/ARCHIVE/frameGrabs/Doc%20Ricketts/images/0499/03_27_18_17.jpg	D499-d8
2018-11-26 20:08:52	Ventana	4163	red cydippid	454.3399963	6.570000172	0.574000001	34.2159996	87.81999969	36.698955	-122.042347	None	http://search.mbari.org/ARCHIVE/framegrabs/Ventana/images/4163/20181126T200852Z-66496978-bb40-45fa-939c-73b5f8c8760e.jpg	V4163-SS10
2019-07-14 15:56:04	Doc Ricketts	1167	spatchy	3979.209961	1.493000031	2.987999916	34.67599869	84.62000275	35.500383	-124.000411	None	http://search.mbari.org/ARCHIVE/framegrabs/Doc%20Ricketts/images/1167/20190714T155604Z--d91d6a89-aa65-42ee-bfc7-cd59de500971.jpg	D1167-D3
2019-07-12 17:12:18	Doc Ricketts	1165	Tjalfie white	3975.189941	1.49000001	2.971999884	34.67399979	84.62000275	35.498979	-124.000053	None	http://search.mbari.org/ARCHIVE/framegrabs/Doc%20Ricketts/images/1165/20190712T171218Z--f8a3c9f0-0b15-4754-a925-cb391ca489cb.jpg	D1165-D10
