sid	eid
MBA 20190425-1	JWL0086
MBA 20190425-3	JWL0087
KMBW2-19	JWL0088
KMBW4-23	JWL0089
D960-BW	JWL0090
D499-D8	JWL0091
V4163-SS10	JWL0092
MBA 20190425-7	JWL0093
MBA 20190425-6	JWL0094
MBA 20190425-5	JWL0095
D1167-D3	JWL0096
KMBW10-2	JWL0097
D1165-D10	JWL0098
D1021 BT Tjal 4	JWL0099
D1021 BT Tjal 7	JWL0100
V4233-SS7	JWL0101
ANT2018224	JWL0102
D329-D1	JWL0103
MBA #5	JWL0104
MBA  20181129 #3	JWL0105
V4233-SS6	JWL0106
D960	JWL0107
5/30/2007 red light	JWL0108
30 may 07 blue light	JWL0109
D1138.2-BW	JWL0110
D1137-T	JWL0111
D1138.2-BW	JWL0112
D1138.2-BW	JWL0113
D1137-T	JWL0114
D1138-BW	JWL0115
D1138.2 pool 4	JWL0116
D1138.2 pool 7	JWL0117
D1138.2 pool 3	JWL0118
D1138.2 pool 6	JWL0119
D1138.2 pool 7	JWL0120
D1138.2 pool 5	JWL0121
D1138.2 pool 3	JWL0122
D1138.2 pool 4	JWL0123
D1168-D9	JWL0124
D1164-MS4	JWL0125
D1169-D7	JWL0126
D1169-D6	JWL0127
D1167-D2	JWL0128
D1169-D1	JWL0129
D1167-SS8	JWL0130
D1168-D5	JWL0131
D1169-D5	JWL0132
D1169-D10	JWL0133
D1163-D5	JWL0134
D1165-D4	JWL0135
D1168-D3	JWL0136
D1167-SS5	JWL0137
D1167-SS1-1	JWL0138
D1167-SS1A	JWL0139
D1164-D4	JWL0140
D1168-D6	JWL0141
D1164-D10	JWL0142
D1164-MS5	JWL0143
D1167-SS1-2	JWL0144
D1167-SS6	JWL0145
D1167-D10	JWL0146
D1164-D2	JWL0147
D1168-D12	JWL0148
D1169-D9	JWL0149
KMBW6-4	JWL0150
	JWL0151
	JWL0152
SEB180701-5	JWL0153
SEB180701-7	JWL0154
SEB180701-9	JWL0155
CTE-Aulacoctena acuminata1	D558-D10
CTE-Bathocyroe_fosteri1	V3709-D5
CTE-Bathyctena_chuni1	D423-D8
CTE-Benthic_cteno1	T1074-SS1
CTE-Beroe_cucumis1	D721-SS7
CTE-Beroe_ovata1	KOK17_BW13
CTE-Beroe_abyssicola1	D340-SS3
CTE-Beroe_forskalii1	20111205-BW3
CTE-Bolinopsis_infundibulum1	V3710-D1
CTE-Cestum_veneris1	2012-BW1
CTE-Charistephane_fugiens1	T982-D6
CTE-Ctenoceros_spclear1	D422d1
CTE-Cydippid_spblack1	D494-D3
CTE-Cydippid_spgold1	D779-D6
CTE-Cydippid_sppeach1	D493-D1
CTE-Cydippid_spredx1	D497-D8	
CTE-Deiopea_kaloktenota1	D499-D11
CTE-Dryodora_glandiformis1	Blue Water 2
CTE-Euplokamis_dunlapae1	V3144-D2
CTE-Haeckelia_beehleri1	BW1
CTE-Haeckelia_rubra	V3709-D2
CTE-Hormiphora_californensis1	GoC 2007 Trawl 6
CTE-Hormiphora_californensis2	20161213-T1
CTE-Kiyohimea_usagi1	D558-D3
CTE-Lampea_deep1	D498-SS7
CTE-Lampea_lactea1	20060926-BW
CTE-Lampocteis_cruentiventer1	D421-D2
CTE-Leucothea_pulchra1	V3762-D6
CTE-Llyria_spbenthic1	D557-D5
CTE-Llyria_spcopper1	D493-D6
CTE-Mertensia_ovum1	Svalbard2016-1
CTE-Nepheloctena_spred1	V3710-D3
CTE-Nepheloctena_spred2	V3710-D8
CTE-Nepheloctena_spwhite1	T841-D5  
CTE-Ocyropsis_crystallina1	D725-BW4
CTE-Ocyropsis_maculata1	20060929-BW
CTE-Tetraphalia_sp1	V3629-D5
CTE-Thalassocalyce_inconstans1	V3560-D2
CTE-Tjalfiella_pink1	D667-D8
CTE-Velamen_parallelum	201209-BW3
CTE-Vermillion_lobate	D326-SS6
CTE-Weird_cteno1	V2848-D2
